algorithm,data_type,size,run_number,time_ms,sorted_correctly
Introsort,Random data,100000,7,85.511,yes
Introsort,Random data,100000,8,90.038,yes
Introsort,Random data,100000,9,85.119,yes
Introsort,Random data,100000,10,89.694,yes
Introsort,Random data,500000,1,519.565,yes
Introsort,Random data,500000,2,504.007,yes
Introsort,Random data,500000,3,508.109,yes
Introsort,Random data,500000,4,508.492,yes
Introsort,Random data,500000,5,501.120,yes
Introsort,Random data,500000,6,511.708,yes
Introsort,Random data,500000,7,527.112,yes
Introsort,Random data,500000,8,521.568,yes
Introsort,Random data,500000,9,534.715,yes
Introsort,Random data,500000,10,521.035,yes
Introsort,Random data,1000000,1,1129.190,yes
Introsort,Random data,1000000,2,1124.436,yes
Introsort,Random data,1000000,3,1114.556,yes
Introsort,Random data,1000000,4,1098.111,yes
Introsort,Random data,1000000,5,1075.001,yes
Introsort,Random data,1000000,6,1095.357,yes
Introsort,Random data,1000000,7,1088.515,yes
Introsort,Random data,1000000,8,1090.436,yes
Introsort,Random data,1000000,9,1094.786,yes
Introsort,Random data,1000000,10,1072.433,yes
