algorithm,data_type,size,run_number,time_ms,sorted_correctly
Introsort,Partially sorted data,10000,7,5.769,yes
Introsort,Partially sorted data,10000,8,5.592,yes
Introsort,Partially sorted data,10000,9,6.086,yes
Introsort,Partially sorted data,10000,10,6.398,yes
Introsort,Partially sorted data,50000,1,35.055,yes
Introsort,Partially sorted data,50000,2,36.173,yes
Introsort,Partially sorted data,50000,3,37.807,yes
Introsort,Partially sorted data,50000,4,35.161,yes
Introsort,Partially sorted data,50000,5,35.761,yes
Introsort,Partially sorted data,50000,6,34.653,yes
Introsort,Partially sorted data,50000,7,35.759,yes
Introsort,Partially sorted data,50000,8,36.087,yes
Introsort,Partially sorted data,50000,9,36.704,yes
Introsort,Partially sorted data,50000,10,35.711,yes
Introsort,Partially sorted data,100000,1,77.665,yes
Introsort,Partially sorted data,100000,2,73.794,yes
Introsort,Partially sorted data,100000,3,76.850,yes
Introsort,Partially sorted data,100000,4,72.355,yes
Introsort,Partially sorted data,100000,5,72.971,yes
Introsort,Partially sorted data,100000,6,76.325,yes
Introsort,Partially sorted data,100000,7,74.804,yes
Introsort,Partially sorted data,100000,8,78.589,yes
Introsort,Partially sorted data,100000,9,75.267,yes
Introsort,Partially sorted data,100000,10,73.746,yes
Introsort,Partially sorted data,500000,1,407.038,yes
Introsort,Partially sorted data,500000,2,420.692,yes
Introsort,Partially sorted data,500000,3,412.259,yes
Introsort,Partially sorted data,500000,4,424.637,yes
Introsort,Partially sorted data,500000,5,419.787,yes
Introsort,Partially sorted data,500000,6,401.310,yes
Introsort,Partially sorted data,500000,7,404.390,yes
Introsort,Partially sorted data,500000,8,353.116,yes
Introsort,Partially sorted data,500000,9,203.777,yes
Introsort,Partially sorted data,500000,10,216.979,yes
Introsort,Partially sorted data,1000000,1,475.875,yes
Introsort,Partially sorted data,1000000,2,470.031,yes
Introsort,Partially sorted data,1000000,3,507.639,yes
Introsort,Partially sorted data,1000000,4,477.448,yes
Introsort,Partially sorted data,1000000,5,453.121,yes
Introsort,Partially sorted data,1000000,6,447.352,yes
Introsort,Partially sorted data,1000000,7,406.067,yes
Introsort,Partially sorted data,1000000,8,462.249,yes
Introsort,Partially sorted data,1000000,9,469.479,yes
Introsort,Partially sorted data,1000000,10,452.368,yes
