row_type;algorithm;size;case_name;run_number;time_ms;sorted_correctly
trial;introsort;10000;prefix_25%;24;0.412200;1
trial;introsort;10000;prefix_25%;25;0.404200;1
trial;introsort;10000;prefix_25%;26;0.400500;1
trial;introsort;10000;prefix_25%;27;0.393100;1
trial;introsort;10000;prefix_25%;28;0.408500;1
trial;introsort;10000;prefix_25%;29;0.413500;1
trial;introsort;10000;prefix_25%;30;0.387100;1
trial;introsort;10000;prefix_25%;31;0.393000;1
trial;introsort;10000;prefix_25%;32;0.478700;1
trial;introsort;10000;prefix_25%;33;0.374200;1
trial;introsort;10000;prefix_25%;34;0.410500;1
trial;introsort;10000;prefix_25%;35;0.397300;1
trial;introsort;10000;prefix_25%;36;0.389500;1
trial;introsort;10000;prefix_25%;37;0.383900;1
trial;introsort;10000;prefix_25%;38;0.384800;1
trial;introsort;10000;prefix_25%;39;0.390000;1
trial;introsort;10000;prefix_25%;40;0.396100;1
trial;introsort;10000;prefix_25%;41;0.408400;1
trial;introsort;10000;prefix_25%;42;0.386000;1
trial;introsort;10000;prefix_25%;43;0.385300;1
trial;introsort;10000;prefix_25%;44;0.401000;1
trial;introsort;10000;prefix_25%;45;0.391300;1
trial;introsort;10000;prefix_25%;46;0.398500;1
trial;introsort;10000;prefix_25%;47;0.388200;1
trial;introsort;10000;prefix_25%;48;0.392200;1
trial;introsort;10000;prefix_25%;49;0.405800;1
trial;introsort;10000;prefix_25%;50;0.393200;1
trial;introsort;10000;prefix_25%;51;0.399100;1
trial;introsort;10000;prefix_25%;52;0.384900;1
trial;introsort;10000;prefix_25%;53;0.383100;1
trial;introsort;10000;prefix_25%;54;0.388600;1
trial;introsort;10000;prefix_25%;55;0.743300;1
trial;introsort;10000;prefix_25%;56;0.418200;1
trial;introsort;10000;prefix_25%;57;0.405700;1
trial;introsort;10000;prefix_25%;58;0.397800;1
trial;introsort;10000;prefix_25%;59;0.395400;1
trial;introsort;10000;prefix_25%;60;0.387100;1
trial;introsort;10000;prefix_25%;61;0.396600;1
trial;introsort;10000;prefix_25%;62;0.394400;1
trial;introsort;10000;prefix_25%;63;0.378600;1
trial;introsort;10000;prefix_25%;64;0.394000;1
